,Rank,Country,Gold,Silver,Bronze,Total
0,1,Australia,67,57,54,178
1,2,England,56,65,53,175
2,3,Canada,26,32,34,92
3,4,India,22,16,23,61
4,5,New Zealand,20,12,17,49
5,6,Scotland,13,11,27,51
6,7,Nigeria,12,9,14,35
7,8,Wales,8,6,14,28
8,9,South Africa,7,9,11,27
9,10,Northern Ireland,7,7,4,18
10,11,Malaysia,6,6,8,22
11,12,Jamaica,6,6,3,15
12,13,Kenya,6,5,10,21
13,14,Singapore,4,4,4,12
14,15,Trinidad & Tobado,3,2,1,6
15,16,Uganda,3,0,2,5
16,17,Cyprus,2,3,6,11
17,18,Pakistan,2,3,3,8
18,19,Samoa,1,4,0,5
19,20,Barbados,1,1,1,3
20,20,Cameron,1,1,1,3
21,20,Zambia,1,1,1,3
22,23,Grenada,1,1,0,2
23,23,The Bahamas,1,1,0,2
24,25,Bermuda,1,0,1,2
25,26,British Virgin Is.,1,0,0,1
26,27,Mauritius,0,3,2,5
27,28,Ghana,0,2,3,5
28,29,Fiji,0,2,2,4
29,30,Mozambique,0,2,1,3
30,31,Sri Lanka,0,1,3,4
31,32,Tanzania,0,1,2,3
32,33,Botswana,0,1,1,2
33,33,Guernsey,0,1,1,2
34,35,Dominica,0,1,0,1
35,35,Papua New Guinea,0,1,0,1
36,35,St Lucia,0,1,0,1
37,35,The Gambia,0,1,0,1
38,39,Namibia,0,0,4,4
39,40,Malta,0,0,1,1
40,40,Nauru,0,0,1,1
41,40,Niue,0,0,1,1
42,40,Vanuatu,0,0,1,1
